"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-07-27,5.35076384192058,10.1658518170036,495.3,0.97,19.82,5.44,9.29,475.48,227.17,230.98,0.98,0.375393556707734,0.00517625627966696,8.23717400597368,0.951767483425637,21.851135578091,40.1820191542308,17.0640179862445,859.088008379784,5.220823288,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-01,6.07575026982603,9.89847501071258,687.5,1,17.05,6.64,8.34,670.45,304.17,302.01,1.01,0.350962075686212,0.0777068875801712,8.06187455506931,1.11385303870876,22.0344807885311,37.0598870118459,16.4285126590029,669.473749592794,3.864793301,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-03,5.35046188005429,10.6237634004843,687.5,1,17.05,6.64,8.34,670.45,304.17,302.01,1.01,0.40025259570496,0.00609779441748732,8.041900871731,1.2197116843724,22.1873254367375,36.2729579210281,16.3359170676416,842.908662643709,4.348344803,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-08,5.56184897876754,10.7385682289847,485,0.77,51.28,11.59,12.62,433.76,220.2,288.46,0.76,0.464939949826017,0.0384996279776763,7.79867865010766,1.78975611926894,22.0048001084453,35.5306920607885,16.7434452135635,852.637303094016,5.63346386,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-10,6.32134697405014,10.6805162170768,485,0.77,51.28,11.59,12.62,433.76,220.2,288.46,0.76,0.303333159428071,0.00271731851692884,8.27230458765207,1.37980797727716,22.3975381173873,36.5298737486204,16.3455531242524,746.182239276335,5.8735466,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-15,4.70103453593683,10.3981837943722,540.6,0.52,8.71,6.8,7.99,531.91,104.76,207.12,0.51,0.343222128072702,0.00216036307110308,7.472683602844,1.33149042759243,22.4786571964004,34.4856387178103,16.0058167922193,712.117031764762,4.048686504,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-22,6.00307907952868,9.97114620100994,611.4,0.52,18.9,6.32,7.99,592.52,298.69,207.12,0.51,6.67330955913766,0,0,0.209999993443489,22.5284301235116,19.8457546234131,0,535.300163748267,5.967871189,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-29,6.28313574542995,9.75266466280154,528,0.52,7.77,4.27,7.99,520.27,271.09,207.12,0.51,6.7116289560903,0,0,5,22.5368138559856,19.8457546234131,0,520.729801108234,5.967871189,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-08-31,1.01128846049643,10.2784934531596,528,0.52,7.77,4.27,7.99,520.27,271.09,207.12,0.51,6.47691806642305,0,0,5,22.8313314319061,19.8457546234131,0,512.885021634459,5.967871189,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-09-07,5.16741179600118,10.3920675673548,501.1,0.52,33.15,4.27,7.99,467.99,271.09,207.12,0.51,6.39517101970973,0,0,5,22.9725984163186,19.8457546234131,0,517.404896187744,5.509442329,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
